date_start,station,count_date_station
2017-10-14,Bloomberg,0
2017-10-14,CNBC,0
2017-10-14,CNN,34
2017-10-14,Fox Business,11
2017-10-14,Fox News,202
2017-10-14,MSNBC,69
2017-10-15,Bloomberg,6
2017-10-15,CNBC,0
2017-10-15,CNN,31
2017-10-15,Fox Business,11
2017-10-15,Fox News,79
2017-10-15,MSNBC,53
2017-10-16,Bloomberg,2
2017-10-16,CNBC,11
2017-10-16,CNN,11
2017-10-16,Fox Business,41
2017-10-16,Fox News,52
2017-10-16,MSNBC,42
2017-10-17,Bloomberg,7
2017-10-17,CNBC,2
2017-10-17,CNN,15
2017-10-17,Fox Business,36
2017-10-17,Fox News,66
2017-10-17,MSNBC,15
2017-10-18,Bloomberg,1
2017-10-18,CNBC,5
2017-10-18,CNN,16
2017-10-18,Fox Business,11
2017-10-18,Fox News,42
2017-10-18,MSNBC,51
2017-10-19,Bloomberg,5
2017-10-19,CNBC,4
2017-10-19,CNN,3
2017-10-19,Fox Business,11
2017-10-19,Fox News,6
2017-10-19,MSNBC,23
2017-10-20,Bloomberg,3
2017-10-20,CNBC,2
2017-10-20,CNN,8
2017-10-20,Fox Business,17
2017-10-20,Fox News,23
2017-10-20,MSNBC,10
2017-10-21,Bloomberg,7
2017-10-21,CNBC,0
2017-10-21,CNN,6
2017-10-21,Fox Business,2
2017-10-21,Fox News,17
2017-10-21,MSNBC,1
2017-10-22,Bloomberg,6
2017-10-22,CNBC,0
2017-10-22,CNN,9
2017-10-22,Fox Business,0
2017-10-22,Fox News,15
2017-10-22,MSNBC,19
2017-10-23,Bloomberg,1
2017-10-23,CNBC,2
2017-10-23,CNN,16
2017-10-23,Fox Business,1
2017-10-23,Fox News,9
2017-10-23,MSNBC,18
2017-10-24,Bloomberg,5
2017-10-24,CNBC,0
2017-10-24,CNN,18
2017-10-24,Fox Business,3
2017-10-24,Fox News,1
2017-10-24,MSNBC,8
2017-10-25,Bloomberg,4
2017-10-25,CNBC,0
2017-10-25,CNN,8
2017-10-25,Fox Business,2
2017-10-25,Fox News,3
2017-10-25,MSNBC,8
2017-10-26,Bloomberg,6
2017-10-26,CNBC,3
2017-10-26,CNN,22
2017-10-26,Fox Business,4
2017-10-26,Fox News,3
2017-10-26,MSNBC,23
2017-10-27,Bloomberg,4
2017-10-27,CNBC,2
2017-10-27,CNN,24
2017-10-27,Fox Business,6
2017-10-27,Fox News,15
2017-10-27,MSNBC,26
2017-10-28,Bloomberg,3
2017-10-28,CNBC,0
2017-10-28,CNN,3
2017-10-28,Fox Business,0
2017-10-28,Fox News,11
2017-10-28,MSNBC,0
2017-10-29,Bloomberg,4
2017-10-29,CNBC,0
2017-10-29,CNN,2
2017-10-29,Fox Business,0
2017-10-29,Fox News,16
2017-10-29,MSNBC,5
2017-10-30,Bloomberg,5
2017-10-30,CNBC,1
2017-10-30,CNN,10
2017-10-30,Fox Business,5
2017-10-30,Fox News,6
2017-10-30,MSNBC,4
2017-10-31,Bloomberg,5
2017-10-31,CNBC,8
2017-10-31,CNN,1
2017-10-31,Fox Business,19
2017-10-31,Fox News,5
2017-10-31,MSNBC,3
2017-11-01,Bloomberg,2
2017-11-01,CNBC,1
2017-11-01,CNN,3
2017-11-01,Fox Business,2
2017-11-01,Fox News,2
2017-11-01,MSNBC,2
2017-11-02,Bloomberg,9
2017-11-02,CNBC,0
2017-11-02,CNN,5
2017-11-02,Fox Business,2
2017-11-02,Fox News,0
2017-11-02,MSNBC,16
2017-11-03,Bloomberg,5
2017-11-03,CNBC,2
2017-11-03,CNN,26
2017-11-03,Fox Business,10
2017-11-03,Fox News,11
2017-11-03,MSNBC,32
2017-11-04,Bloomberg,5
2017-11-04,CNBC,1
2017-11-04,CNN,22
2017-11-04,Fox Business,0
2017-11-04,Fox News,17
2017-11-04,MSNBC,21
2017-11-05,Bloomberg,6
2017-11-05,CNBC,0
2017-11-05,CNN,12
2017-11-05,Fox Business,0
2017-11-05,Fox News,23
2017-11-05,MSNBC,1
2017-11-06,Bloomberg,3
2017-11-06,CNBC,0
2017-11-06,CNN,0
2017-11-06,Fox Business,6
2017-11-06,Fox News,0
2017-11-06,MSNBC,0
2017-11-07,Bloomberg,4
2017-11-07,CNBC,1
2017-11-07,CNN,12
2017-11-07,Fox Business,5
2017-11-07,Fox News,2
2017-11-07,MSNBC,13
2017-11-08,Bloomberg,5
2017-11-08,CNBC,2
2017-11-08,CNN,29
2017-11-08,Fox Business,12
2017-11-08,Fox News,6
2017-11-08,MSNBC,44
2017-11-09,Bloomberg,15
2017-11-09,CNBC,1
2017-11-09,CNN,108
2017-11-09,Fox Business,21
2017-11-09,Fox News,16
2017-11-09,MSNBC,102
2017-11-10,Bloomberg,23
2017-11-10,CNBC,2
2017-11-10,CNN,380
2017-11-10,Fox Business,45
2017-11-10,Fox News,130
2017-11-10,MSNBC,347
2017-11-11,Bloomberg,10
2017-11-11,CNBC,0
