date_start,name,count_date_person
2017-10-05,danny masterson,0
2017-10-05,dustin hoffman,0
2017-10-05,garrison keillor,0
2017-10-05,gary goddard,0
2017-10-05,george takei,0
2017-10-05,glenn thrush,2
2017-10-05,harvey weinstein,8
2017-10-05,james levine,0
2017-10-05,james toback,0
2017-10-05,jann wenner,0
2017-10-05,jeff clemens,0
2017-10-05,jeffrey tambor,0
2017-10-05,jeremy piven,0
2017-10-05,john conyers,0
2017-10-05,john lasseter,0
2017-10-05,josh besh,0
2017-10-05,ken baker,0
2017-10-05,kevin spacey,0
2017-10-05,leon wieseltier,0
2017-10-05,louis ck,0
2017-10-05,mark halperin,0
2017-10-05,matt lauer,0
2017-10-05,matt zimmerman,0
2017-10-05,matthew weiner,0
2017-10-05,michael fallon,0
2017-10-05,michael oreskes,0
2017-10-05,nick carter,0
2017-10-05,richard dreyfuss,0
2017-10-05,robert scoble,0
2017-10-05,roy moore,6
2017-10-05,ruben kihuen,0
2017-10-05,russell simmons,0
2017-10-05,sepp blatter,0
2017-10-05,steven seagal,0
2017-10-05,terry richardson,0
2017-10-05,tom sizemore,0
2017-10-05,tony cornish,0
2017-10-05,trent franks,0
2017-10-05,warren moon,0
2017-10-05,wes goodman,0
2017-10-06,al franken,0
2017-10-06,andy dick,0
2017-10-06,blake farenthold,0
2017-10-06,brett ratner,0
2017-10-06,charlie rose,4
2017-10-06,danny masterson,0
2017-10-06,dustin hoffman,0
2017-10-06,garrison keillor,0
2017-10-06,gary goddard,0
2017-10-06,george takei,0
2017-10-06,glenn thrush,1
2017-10-06,harvey weinstein,36
2017-10-06,james levine,0
2017-10-06,james toback,0
2017-10-06,jann wenner,0
2017-10-06,jeff clemens,0
2017-10-06,jeffrey tambor,0
2017-10-06,jeremy piven,0
2017-10-06,john conyers,0
2017-10-06,john lasseter,0
2017-10-06,josh besh,0
2017-10-06,ken baker,0
2017-10-06,kevin spacey,0
2017-10-06,leon wieseltier,0
2017-10-06,louis ck,0
2017-10-06,mark halperin,0
2017-10-06,matt lauer,0
2017-10-06,matt zimmerman,0
2017-10-06,matthew weiner,0
2017-10-06,michael fallon,0
2017-10-06,michael oreskes,0
2017-10-06,nick carter,0
2017-10-06,richard dreyfuss,0
2017-10-06,robert scoble,0
2017-10-06,roy moore,7
2017-10-06,ruben kihuen,0
2017-10-06,russell simmons,0
2017-10-06,sepp blatter,0
2017-10-06,steven seagal,0
2017-10-06,terry richardson,0
2017-10-06,tom sizemore,0
2017-10-06,tony cornish,0
2017-10-06,trent franks,0
2017-10-06,warren moon,0
2017-10-06,wes goodman,0
2017-10-07,al franken,0
2017-10-07,andy dick,0
2017-10-07,blake farenthold,0
2017-10-07,brett ratner,0
2017-10-07,charlie rose,3
2017-10-07,danny masterson,0
2017-10-07,dustin hoffman,0
2017-10-07,garrison keillor,0
2017-10-07,gary goddard,0
2017-10-07,george takei,0
2017-10-07,glenn thrush,0
2017-10-07,harvey weinstein,20
2017-10-07,james levine,0
2017-10-07,james toback,0
2017-10-07,jann wenner,0
2017-10-07,jeff clemens,0
2017-10-07,jeffrey tambor,0
2017-10-07,jeremy piven,0
2017-10-07,john conyers,0
2017-10-07,john lasseter,0
2017-10-07,josh besh,0
2017-10-07,ken baker,0
2017-10-07,kevin spacey,0
2017-10-07,leon wieseltier,0
2017-10-07,louis ck,0
2017-10-07,mark halperin,0
2017-10-07,matt lauer,8
2017-10-07,matt zimmerman,0
2017-10-07,matthew weiner,0
2017-10-07,michael fallon,0
2017-10-07,michael oreskes,0
2017-10-07,nick carter,0
2017-10-07,richard dreyfuss,0
2017-10-07,robert scoble,0
2017-10-07,roy moore,6
2017-10-07,ruben kihuen,0
2017-10-07,russell simmons,0
2017-10-07,sepp blatter,0
2017-10-07,steven seagal,0
2017-10-07,terry richardson,0
2017-10-07,tom sizemore,0
2017-10-07,tony cornish,0
2017-10-07,trent franks,0
2017-10-07,warren moon,0
2017-10-07,wes goodman,0
2017-10-08,al franken,0
2017-10-08,andy dick,0
2017-10-08,blake farenthold,0
2017-10-08,brett ratner,0
2017-10-08,charlie rose,3
2017-10-08,danny masterson,0
2017-10-08,dustin hoffman,0
2017-10-08,garrison keillor,0
2017-10-08,gary goddard,0
2017-10-08,george takei,0
2017-10-08,glenn thrush,0
2017-10-08,harvey weinstein,68
2017-10-08,james levine,0
2017-10-08,james toback,0
2017-10-08,jann wenner,0
2017-10-08,jeff clemens,0
2017-10-08,jeffrey tambor,0
2017-10-08,jeremy piven,0
2017-10-08,john conyers,0
2017-10-08,john lasseter,0
2017-10-08,josh besh,0
2017-10-08,ken baker,0
2017-10-08,kevin spacey,0
2017-10-08,leon wieseltier,0
2017-10-08,louis ck,0
2017-10-08,mark halperin,0
2017-10-08,matt lauer,0
2017-10-08,matt zimmerman,0
2017-10-08,matthew weiner,0
2017-10-08,michael fallon,0
2017-10-08,michael oreskes,0
2017-10-08,nick carter,0
2017-10-08,richard dreyfuss,0
2017-10-08,robert scoble,0
2017-10-08,roy moore,1
2017-10-08,ruben kihuen,0
2017-10-08,russell simmons,1
2017-10-08,sepp blatter,0
2017-10-08,steven seagal,0
2017-10-08,terry richardson,0
2017-10-08,tom sizemore,0
2017-10-08,tony cornish,0
2017-10-08,trent franks,0
2017-10-08,warren moon,0
2017-10-08,wes goodman,0
2017-10-09,al franken,1
2017-10-09,andy dick,0
2017-10-09,blake farenthold,0
2017-10-09,brett ratner,0
2017-10-09,charlie rose,2
2017-10-09,danny masterson,0
2017-10-09,dustin hoffman,0
2017-10-09,garrison keillor,0
2017-10-09,gary goddard,0
2017-10-09,george takei,0
2017-10-09,glenn thrush,0
2017-10-09,harvey weinstein,193
2017-10-09,james levine,0
2017-10-09,james toback,0
2017-10-09,jann wenner,0
2017-10-09,jeff clemens,0
2017-10-09,jeffrey tambor,0
2017-10-09,jeremy piven,0
2017-10-09,john conyers,0
2017-10-09,john lasseter,0
2017-10-09,josh besh,0
2017-10-09,ken baker,0
2017-10-09,kevin spacey,0
2017-10-09,leon wieseltier,0
2017-10-09,louis ck,0
2017-10-09,mark halperin,0
2017-10-09,matt lauer,0
2017-10-09,matt zimmerman,0
2017-10-09,matthew weiner,0
2017-10-09,michael fallon,0
2017-10-09,michael oreskes,0
2017-10-09,nick carter,0
2017-10-09,richard dreyfuss,0
2017-10-09,robert scoble,0
2017-10-09,roy moore,8
2017-10-09,ruben kihuen,0
2017-10-09,russell simmons,0
2017-10-09,sepp blatter,0
2017-10-09,steven seagal,0
2017-10-09,terry richardson,0
2017-10-09,tom sizemore,0
2017-10-09,tony cornish,0
2017-10-09,trent franks,0
2017-10-09,warren moon,0
2017-10-09,wes goodman,0
2017-10-10,al franken,0
2017-10-10,andy dick,0
2017-10-10,blake farenthold,0
2017-10-10,brett ratner,0
2017-10-10,charlie rose,2
2017-10-10,danny masterson,0
2017-10-10,dustin hoffman,0
2017-10-10,garrison keillor,0
2017-10-10,gary goddard,0
2017-10-10,george takei,0
2017-10-10,glenn thrush,0
2017-10-10,harvey weinstein,302
2017-10-10,james levine,0
2017-10-10,james toback,0
2017-10-10,jann wenner,0
2017-10-10,jeff clemens,0
2017-10-10,jeffrey tambor,0
2017-10-10,jeremy piven,0
2017-10-10,john conyers,0
2017-10-10,john lasseter,0
2017-10-10,josh besh,0
2017-10-10,ken baker,0
2017-10-10,kevin spacey,0
2017-10-10,leon wieseltier,0
2017-10-10,louis ck,0
2017-10-10,mark halperin,0
2017-10-10,matt lauer,0
2017-10-10,matt zimmerman,0
2017-10-10,matthew weiner,0
2017-10-10,michael fallon,0
2017-10-10,michael oreskes,0
2017-10-10,nick carter,0
2017-10-10,richard dreyfuss,0
2017-10-10,robert scoble,0
2017-10-10,roy moore,15
2017-10-10,ruben kihuen,0
2017-10-10,russell simmons,0
2017-10-10,sepp blatter,0
2017-10-10,steven seagal,0
2017-10-10,terry richardson,0
2017-10-10,tom sizemore,0
2017-10-10,tony cornish,0
2017-10-10,trent franks,0
2017-10-10,warren moon,0
2017-10-10,wes goodman,0
2017-10-11,al franken,0
2017-10-11,andy dick,0
2017-10-11,blake farenthold,0
2017-10-11,brett ratner,0
2017-10-11,charlie rose,1
2017-10-11,danny masterson,0
2017-10-11,dustin hoffman,0
2017-10-11,garrison keillor,0
2017-10-11,gary goddard,0
2017-10-11,george takei,0
2017-10-11,glenn thrush,3
2017-10-11,harvey weinstein,524
2017-10-11,james levine,0
2017-10-11,james toback,0
2017-10-11,jann wenner,0
2017-10-11,jeff clemens,0
2017-10-11,jeffrey tambor,0
2017-10-11,jeremy piven,0
2017-10-11,john conyers,0
2017-10-11,john lasseter,0
2017-10-11,josh besh,0
2017-10-11,ken baker,0
2017-10-11,kevin spacey,0
2017-10-11,leon wieseltier,0
2017-10-11,louis ck,0
2017-10-11,mark halperin,0
2017-10-11,matt lauer,0
2017-10-11,matt zimmerman,0
2017-10-11,matthew weiner,0
2017-10-11,michael fallon,0
2017-10-11,michael oreskes,0
2017-10-11,nick carter,0
2017-10-11,richard dreyfuss,0
2017-10-11,robert scoble,0
2017-10-11,roy moore,7
2017-10-11,ruben kihuen,0
2017-10-11,russell simmons,0
2017-10-11,sepp blatter,0
2017-10-11,steven seagal,0
2017-10-11,terry richardson,0
2017-10-11,tom sizemore,0
2017-10-11,tony cornish,0
2017-10-11,trent franks,0
2017-10-11,warren moon,0
2017-10-11,wes goodman,0
2017-10-12,al franken,0
2017-10-12,andy dick,0
2017-10-12,blake farenthold,0
2017-10-12,brett ratner,0
2017-10-12,charlie rose,4
2017-10-12,danny masterson,0
2017-10-12,dustin hoffman,0
2017-10-12,garrison keillor,0
2017-10-12,gary goddard,0
2017-10-12,george takei,0
2017-10-12,glenn thrush,0
2017-10-12,harvey weinstein,252
2017-10-12,james levine,0
2017-10-12,james toback,0
2017-10-12,jann wenner,0
2017-10-12,jeff clemens,0
2017-10-12,jeffrey tambor,0
2017-10-12,jeremy piven,0
2017-10-12,john conyers,0
2017-10-12,john lasseter,0
2017-10-12,josh besh,0
2017-10-12,ken baker,0
2017-10-12,kevin spacey,0
2017-10-12,leon wieseltier,0
2017-10-12,louis ck,0
2017-10-12,mark halperin,6
2017-10-12,matt lauer,0
2017-10-12,matt zimmerman,0
2017-10-12,matthew weiner,0
2017-10-12,michael fallon,0
2017-10-12,michael oreskes,0
2017-10-12,nick carter,0
2017-10-12,richard dreyfuss,0
2017-10-12,robert scoble,0
2017-10-12,roy moore,5
2017-10-12,ruben kihuen,0
2017-10-12,russell simmons,0
2017-10-12,sepp blatter,0
2017-10-12,steven seagal,0
2017-10-12,terry richardson,0
2017-10-12,tom sizemore,0
2017-10-12,tony cornish,0
2017-10-12,trent franks,0
2017-10-12,warren moon,0
2017-10-12,wes goodman,0
2017-10-13,al franken,0
2017-10-13,andy dick,0
2017-10-13,blake farenthold,0
2017-10-13,brett ratner,0
2017-10-13,charlie rose,4
2017-10-13,danny masterson,0
2017-10-13,dustin hoffman,1
2017-10-13,garrison keillor,0
2017-10-13,gary goddard,0
2017-10-13,george takei,0
2017-10-13,glenn thrush,0
2017-10-13,harvey weinstein,248
2017-10-13,james levine,0
2017-10-13,james toback,0
2017-10-13,jann wenner,0
2017-10-13,jeff clemens,0
2017-10-13,jeffrey tambor,0
2017-10-13,jeremy piven,0
2017-10-13,john conyers,0
2017-10-13,john lasseter,0
2017-10-13,josh besh,0
2017-10-13,ken baker,0
2017-10-13,kevin spacey,0
2017-10-13,leon wieseltier,0
2017-10-13,louis ck,0
2017-10-13,mark halperin,0
2017-10-13,matt lauer,0
2017-10-13,matt zimmerman,0
2017-10-13,matthew weiner,0
2017-10-13,michael fallon,0
2017-10-13,michael oreskes,0
2017-10-13,nick carter,0
2017-10-13,richard dreyfuss,0
2017-10-13,robert scoble,0
2017-10-13,roy moore,6
2017-10-13,ruben kihuen,0
2017-10-13,russell simmons,0
2017-10-13,sepp blatter,0
2017-10-13,steven seagal,0
2017-10-13,terry richardson,0
2017-10-13,tom sizemore,0
2017-10-13,tony cornish,0
2017-10-13,trent franks,0
2017-10-13,warren moon,0
2017-10-13,wes goodman,0
2017-10-14,al franken,0
2017-10-14,andy dick,0
2017-10-14,blake farenthold,0
2017-10-14,brett ratner,0
2017-10-14,charlie rose,0
2017-10-14,danny masterson,0
2017-10-14,dustin hoffman,0
2017-10-14,garrison keillor,0
2017-10-14,gary goddard,0
2017-10-14,george takei,0
2017-10-14,glenn thrush,0
2017-10-14,harvey weinstein,307
2017-10-14,james levine,0
2017-10-14,james toback,0
2017-10-14,jann wenner,0
2017-10-14,jeff clemens,0
2017-10-14,jeffrey tambor,0
2017-10-14,jeremy piven,0
2017-10-14,john conyers,1
2017-10-14,john lasseter,0
2017-10-14,josh besh,0
2017-10-14,ken baker,0
2017-10-14,kevin spacey,0
2017-10-14,leon wieseltier,0
2017-10-14,louis ck,0
2017-10-14,mark halperin,0
2017-10-14,matt lauer,0
2017-10-14,matt zimmerman,0
2017-10-14,matthew weiner,0
2017-10-14,michael fallon,0
2017-10-14,michael oreskes,0
2017-10-14,nick carter,0
2017-10-14,richard dreyfuss,0
2017-10-14,robert scoble,0
2017-10-14,roy moore,8
2017-10-14,ruben kihuen,0
2017-10-14,russell simmons,0
2017-10-14,sepp blatter,0
2017-10-14,steven seagal,0
2017-10-14,terry richardson,0
2017-10-14,tom sizemore,0
2017-10-14,tony cornish,0
2017-10-14,trent franks,0
2017-10-14,warren moon,0
2017-10-14,wes goodman,0
2017-10-15,al franken,2
2017-10-15,andy dick,0
2017-10-15,blake farenthold,0
2017-10-15,brett ratner,0
2017-10-15,charlie rose,4
2017-10-15,danny masterson,0
2017-10-15,dustin hoffman,2
2017-10-15,garrison keillor,0
2017-10-15,gary goddard,0
2017-10-15,george takei,0
2017-10-15,glenn thrush,0
2017-10-15,harvey weinstein,169
2017-10-15,james levine,0
2017-10-15,james toback,0
2017-10-15,jann wenner,0
2017-10-15,jeff clemens,0
2017-10-15,jeffrey tambor,0
2017-10-15,jeremy piven,0
2017-10-15,john conyers,0
2017-10-15,john lasseter,0
2017-10-15,josh besh,0
2017-10-15,ken baker,0
2017-10-15,kevin spacey,0
2017-10-15,leon wieseltier,0
2017-10-15,louis ck,0
2017-10-15,mark halperin,0
2017-10-15,matt lauer,0
2017-10-15,matt zimmerman,0
2017-10-15,matthew weiner,0
2017-10-15,michael fallon,0
2017-10-15,michael oreskes,0
2017-10-15,nick carter,0
2017-10-15,richard dreyfuss,0
2017-10-15,robert scoble,0
2017-10-15,roy moore,3
2017-10-15,ruben kihuen,0
2017-10-15,russell simmons,0
2017-10-15,sepp blatter,0
2017-10-15,steven seagal,0
2017-10-15,terry richardson,0
2017-10-15,tom sizemore,0
2017-10-15,tony cornish,0
2017-10-15,trent franks,0
2017-10-15,warren moon,0
2017-10-15,wes goodman,0
2017-10-16,al franken,6
2017-10-16,andy dick,0
2017-10-16,blake farenthold,0
2017-10-16,brett ratner,0
2017-10-16,charlie rose,1
2017-10-16,danny masterson,0
2017-10-16,dustin hoffman,0
2017-10-16,garrison keillor,0
2017-10-16,gary goddard,0
2017-10-16,george takei,0
2017-10-16,glenn thrush,3
2017-10-16,harvey weinstein,136
2017-10-16,james levine,0
2017-10-16,james toback,0
2017-10-16,jann wenner,0
2017-10-16,jeff clemens,0
2017-10-16,jeffrey tambor,0
2017-10-16,jeremy piven,0
2017-10-16,john conyers,0
2017-10-16,john lasseter,0
2017-10-16,josh besh,0
2017-10-16,ken baker,0
2017-10-16,kevin spacey,0
2017-10-16,leon wieseltier,0
2017-10-16,louis ck,0
2017-10-16,mark halperin,4
2017-10-16,matt lauer,0
2017-10-16,matt zimmerman,0
2017-10-16,matthew weiner,0
2017-10-16,michael fallon,0
2017-10-16,michael oreskes,0
2017-10-16,nick carter,0
2017-10-16,richard dreyfuss,0
2017-10-16,robert scoble,0
2017-10-16,roy moore,9
2017-10-16,ruben kihuen,0
2017-10-16,russell simmons,0
2017-10-16,sepp blatter,0
2017-10-16,steven seagal,0
2017-10-16,terry richardson,0
2017-10-16,tom sizemore,0
2017-10-16,tony cornish,0
2017-10-16,trent franks,0
2017-10-16,warren moon,0
2017-10-16,wes goodman,0
2017-10-17,al franken,0
2017-10-17,andy dick,0
2017-10-17,blake farenthold,0
2017-10-17,brett ratner,0
2017-10-17,charlie rose,4
2017-10-17,danny masterson,0
2017-10-17,dustin hoffman,0
2017-10-17,garrison keillor,0
2017-10-17,gary goddard,0
2017-10-17,george takei,0
2017-10-17,glenn thrush,3
2017-10-17,harvey weinstein,130
2017-10-17,james levine,0
2017-10-17,james toback,0
2017-10-17,jann wenner,0
2017-10-17,jeff clemens,0
2017-10-17,jeffrey tambor,0
2017-10-17,jeremy piven,0
2017-10-17,john conyers,0
2017-10-17,john lasseter,0
2017-10-17,josh besh,0
2017-10-17,ken baker,0
2017-10-17,kevin spacey,0
2017-10-17,leon wieseltier,0
2017-10-17,louis ck,0
2017-10-17,mark halperin,0
2017-10-17,matt lauer,0
2017-10-17,matt zimmerman,0
2017-10-17,matthew weiner,0
2017-10-17,michael fallon,0
2017-10-17,michael oreskes,0
2017-10-17,nick carter,0
2017-10-17,richard dreyfuss,0
2017-10-17,robert scoble,0
2017-10-17,roy moore,4
2017-10-17,ruben kihuen,0
2017-10-17,russell simmons,0
2017-10-17,sepp blatter,0
2017-10-17,steven seagal,0
2017-10-17,terry richardson,0
2017-10-17,tom sizemore,0
2017-10-17,tony cornish,0
2017-10-17,trent franks,0
2017-10-17,warren moon,0
2017-10-17,wes goodman,0
2017-10-18,al franken,22
2017-10-18,andy dick,0
2017-10-18,blake farenthold,0
2017-10-18,brett ratner,0
2017-10-18,charlie rose,1
2017-10-18,danny masterson,0
2017-10-18,dustin hoffman,0
2017-10-18,garrison keillor,0
2017-10-18,gary goddard,0
2017-10-18,george takei,0
2017-10-18,glenn thrush,2
2017-10-18,harvey weinstein,72
2017-10-18,james levine,0
2017-10-18,james toback,0
2017-10-18,jann wenner,0
2017-10-18,jeff clemens,0
2017-10-18,jeffrey tambor,0
2017-10-18,jeremy piven,0
2017-10-18,john conyers,0
2017-10-18,john lasseter,0
2017-10-18,josh besh,0
2017-10-18,ken baker,0
2017-10-18,kevin spacey,0
2017-10-18,leon wieseltier,0
2017-10-18,louis ck,0
2017-10-18,mark halperin,9
2017-10-18,matt lauer,0
2017-10-18,matt zimmerman,0
2017-10-18,matthew weiner,0
2017-10-18,michael fallon,2
2017-10-18,michael oreskes,0
2017-10-18,nick carter,0
2017-10-18,richard dreyfuss,0
2017-10-18,robert scoble,0
2017-10-18,roy moore,18
2017-10-18,ruben kihuen,0
2017-10-18,russell simmons,0
2017-10-18,sepp blatter,0
2017-10-18,steven seagal,0
2017-10-18,terry richardson,0
2017-10-18,tom sizemore,0
2017-10-18,tony cornish,0
2017-10-18,trent franks,0
2017-10-18,warren moon,0
2017-10-18,wes goodman,0
2017-10-19,al franken,8
2017-10-19,andy dick,0
2017-10-19,blake farenthold,0
2017-10-19,brett ratner,0
2017-10-19,charlie rose,3
2017-10-19,danny masterson,0
2017-10-19,dustin hoffman,0
2017-10-19,garrison keillor,0
2017-10-19,gary goddard,0
2017-10-19,george takei,0
2017-10-19,glenn thrush,1
2017-10-19,harvey weinstein,23
2017-10-19,james levine,0
2017-10-19,james toback,0
2017-10-19,jann wenner,0
2017-10-19,jeff clemens,0
2017-10-19,jeffrey tambor,0
2017-10-19,jeremy piven,0
2017-10-19,john conyers,0
2017-10-19,john lasseter,0
2017-10-19,josh besh,0
2017-10-19,ken baker,0
2017-10-19,kevin spacey,0
2017-10-19,leon wieseltier,0
2017-10-19,louis ck,0
2017-10-19,mark halperin,4
2017-10-19,matt lauer,0
2017-10-19,matt zimmerman,0
2017-10-19,matthew weiner,0
2017-10-19,michael fallon,0
2017-10-19,michael oreskes,0
2017-10-19,nick carter,0
2017-10-19,richard dreyfuss,0
2017-10-19,robert scoble,0
2017-10-19,roy moore,13
2017-10-19,ruben kihuen,0
2017-10-19,russell simmons,0
2017-10-19,sepp blatter,0
2017-10-19,steven seagal,0
2017-10-19,terry richardson,0
2017-10-19,tom sizemore,0
2017-10-19,tony cornish,0
2017-10-19,trent franks,0
2017-10-19,warren moon,0
2017-10-19,wes goodman,0
2017-10-20,al franken,0
2017-10-20,andy dick,0
2017-10-20,blake farenthold,0
2017-10-20,brett ratner,0
2017-10-20,charlie rose,3
2017-10-20,danny masterson,0
2017-10-20,dustin hoffman,0
2017-10-20,garrison keillor,0
2017-10-20,gary goddard,0
2017-10-20,george takei,0
2017-10-20,glenn thrush,0
2017-10-20,harvey weinstein,48
2017-10-20,james levine,0
2017-10-20,james toback,0
2017-10-20,jann wenner,0
2017-10-20,jeff clemens,0
2017-10-20,jeffrey tambor,0
2017-10-20,jeremy piven,0
2017-10-20,john conyers,0
2017-10-20,john lasseter,0
2017-10-20,josh besh,0
2017-10-20,ken baker,0
2017-10-20,kevin spacey,0
2017-10-20,leon wieseltier,0
2017-10-20,louis ck,0
2017-10-20,mark halperin,1
2017-10-20,matt lauer,0
2017-10-20,matt zimmerman,0
2017-10-20,matthew weiner,0
2017-10-20,michael fallon,0
2017-10-20,michael oreskes,0
2017-10-20,nick carter,0
2017-10-20,richard dreyfuss,0
2017-10-20,robert scoble,0
2017-10-20,roy moore,11
2017-10-20,ruben kihuen,0
2017-10-20,russell simmons,0
2017-10-20,sepp blatter,0
2017-10-20,steven seagal,0
2017-10-20,terry richardson,0
2017-10-20,tom sizemore,0
2017-10-20,tony cornish,0
2017-10-20,trent franks,0
2017-10-20,warren moon,0
2017-10-20,wes goodman,0
2017-10-21,al franken,4
2017-10-21,andy dick,0
2017-10-21,blake farenthold,0
2017-10-21,brett ratner,0
2017-10-21,charlie rose,4
2017-10-21,danny masterson,0
2017-10-21,dustin hoffman,0
2017-10-21,garrison keillor,0
2017-10-21,gary goddard,0
2017-10-21,george takei,0
2017-10-21,glenn thrush,0
2017-10-21,harvey weinstein,24
2017-10-21,james levine,0
2017-10-21,james toback,0
2017-10-21,jann wenner,0
2017-10-21,jeff clemens,0
2017-10-21,jeffrey tambor,0
2017-10-21,jeremy piven,0
2017-10-21,john conyers,0
