date_start,station,w_other,count_date_station_w_other
2017-11-06,MSNBC,Others,0
2017-11-06,MSNBC,Weinstein,0
2017-11-07,Bloomberg,Others,4
2017-11-07,Bloomberg,Weinstein,0
2017-11-07,CNBC,Others,0
2017-11-07,CNBC,Weinstein,1
2017-11-07,CNN,Others,2
2017-11-07,CNN,Weinstein,9
2017-11-07,Fox Business,Others,2
2017-11-07,Fox Business,Weinstein,3
2017-11-07,Fox News,Others,0
2017-11-07,Fox News,Weinstein,2
2017-11-07,MSNBC,Others,0
2017-11-07,MSNBC,Weinstein,13
2017-11-08,Bloomberg,Others,5
2017-11-08,Bloomberg,Weinstein,0
2017-11-08,CNBC,Others,2
2017-11-08,CNBC,Weinstein,0
2017-11-08,CNN,Others,23
2017-11-08,CNN,Weinstein,3
2017-11-08,Fox Business,Others,2
2017-11-08,Fox Business,Weinstein,9
2017-11-08,Fox News,Others,2
2017-11-08,Fox News,Weinstein,4
2017-11-08,MSNBC,Others,36
2017-11-08,MSNBC,Weinstein,6
2017-11-09,Bloomberg,Others,6
2017-11-09,Bloomberg,Weinstein,0
2017-11-09,CNBC,Others,1
2017-11-09,CNBC,Weinstein,0
2017-11-09,CNN,Others,26
2017-11-09,CNN,Weinstein,24
2017-11-09,Fox Business,Others,12
2017-11-09,Fox Business,Weinstein,1
2017-11-09,Fox News,Others,1
2017-11-09,Fox News,Weinstein,0
2017-11-09,MSNBC,Others,25
2017-11-09,MSNBC,Weinstein,4
2017-11-10,Bloomberg,Others,5
2017-11-10,Bloomberg,Weinstein,0
2017-11-10,CNBC,Others,0
2017-11-10,CNBC,Weinstein,2
2017-11-10,CNN,Others,28
2017-11-10,CNN,Weinstein,20
2017-11-10,Fox Business,Others,3
2017-11-10,Fox Business,Weinstein,6
2017-11-10,Fox News,Others,25
2017-11-10,Fox News,Weinstein,12
2017-11-10,MSNBC,Others,6
2017-11-10,MSNBC,Weinstein,5
2017-11-11,Bloomberg,Others,3
2017-11-11,Bloomberg,Weinstein,2
2017-11-11,CNBC,Others,0
2017-11-11,CNBC,Weinstein,0
2017-11-11,CNN,Others,9
2017-11-11,CNN,Weinstein,9
2017-11-11,Fox Business,Others,0
2017-11-11,Fox Business,Weinstein,3
2017-11-11,Fox News,Others,59
2017-11-11,Fox News,Weinstein,6
2017-11-11,MSNBC,Others,18
2017-11-11,MSNBC,Weinstein,21
2017-11-12,Bloomberg,Others,3
2017-11-12,Bloomberg,Weinstein,2
2017-11-12,CNBC,Others,0
2017-11-12,CNBC,Weinstein,0
2017-11-12,CNN,Others,7
2017-11-12,CNN,Weinstein,2
2017-11-12,Fox Business,Others,0
2017-11-12,Fox Business,Weinstein,0
2017-11-12,Fox News,Others,6
2017-11-12,Fox News,Weinstein,2
2017-11-12,MSNBC,Others,3
2017-11-12,MSNBC,Weinstein,8
2017-11-13,Bloomberg,Others,1
2017-11-13,Bloomberg,Weinstein,2
2017-11-13,CNBC,Others,2
2017-11-13,CNBC,Weinstein,1
2017-11-13,CNN,Others,0
2017-11-13,CNN,Weinstein,1
2017-11-13,Fox Business,Others,1
2017-11-13,Fox Business,Weinstein,0
2017-11-13,Fox News,Others,4
2017-11-13,Fox News,Weinstein,7
2017-11-13,MSNBC,Others,0
2017-11-13,MSNBC,Weinstein,7
2017-11-14,Bloomberg,Others,5
2017-11-14,Bloomberg,Weinstein,1
2017-11-14,CNBC,Others,0
2017-11-14,CNBC,Weinstein,1
2017-11-14,CNN,Others,3
2017-11-14,CNN,Weinstein,4
2017-11-14,Fox Business,Others,1
2017-11-14,Fox Business,Weinstein,2
2017-11-14,Fox News,Others,5
2017-11-14,Fox News,Weinstein,0
2017-11-14,MSNBC,Others,5
2017-11-14,MSNBC,Weinstein,6
2017-11-15,Bloomberg,Others,1
2017-11-15,Bloomberg,Weinstein,0
2017-11-15,CNBC,Others,0
2017-11-15,CNBC,Weinstein,0
2017-11-15,CNN,Others,2
2017-11-15,CNN,Weinstein,3
2017-11-15,Fox Business,Others,3
2017-11-15,Fox Business,Weinstein,8
2017-11-15,Fox News,Others,5
2017-11-15,Fox News,Weinstein,8
2017-11-15,MSNBC,Others,2
2017-11-15,MSNBC,Weinstein,5
2017-11-16,Bloomberg,Others,7
2017-11-16,Bloomberg,Weinstein,1
2017-11-16,CNBC,Others,1
2017-11-16,CNBC,Weinstein,0
2017-11-16,CNN,Others,38
2017-11-16,CNN,Weinstein,10
2017-11-16,Fox Business,Others,36
2017-11-16,Fox Business,Weinstein,3
2017-11-16,Fox News,Others,66
2017-11-16,Fox News,Weinstein,6
2017-11-16,MSNBC,Others,49
2017-11-16,MSNBC,Weinstein,15
2017-11-17,Bloomberg,Others,5
2017-11-17,Bloomberg,Weinstein,2
2017-11-17,CNBC,Others,0
2017-11-17,CNBC,Weinstein,0
2017-11-17,CNN,Others,151
2017-11-17,CNN,Weinstein,11
2017-11-17,Fox Business,Others,71
2017-11-17,Fox Business,Weinstein,1
2017-11-17,Fox News,Others,156
2017-11-17,Fox News,Weinstein,6
2017-11-17,MSNBC,Others,146
2017-11-17,MSNBC,Weinstein,4
2017-11-18,Bloomberg,Others,6
2017-11-18,Bloomberg,Weinstein,1
2017-11-18,CNBC,Others,0
2017-11-18,CNBC,Weinstein,0
2017-11-18,CNN,Others,118
2017-11-18,CNN,Weinstein,10
2017-11-18,Fox Business,Others,26
2017-11-18,Fox Business,Weinstein,0
2017-11-18,Fox News,Others,129
2017-11-18,Fox News,Weinstein,8
2017-11-18,MSNBC,Others,146
2017-11-18,MSNBC,Weinstein,8
2017-11-19,Bloomberg,Others,3
2017-11-19,Bloomberg,Weinstein,1
2017-11-19,CNBC,Others,0
2017-11-19,CNBC,Weinstein,0
2017-11-19,CNN,Others,58
2017-11-19,CNN,Weinstein,7
2017-11-19,Fox Business,Others,0
2017-11-19,Fox Business,Weinstein,0
2017-11-19,Fox News,Others,52
2017-11-19,Fox News,Weinstein,15
2017-11-19,MSNBC,Others,97
2017-11-19,MSNBC,Weinstein,9
2017-11-20,Bloomberg,Others,9
2017-11-20,Bloomberg,Weinstein,0
2017-11-20,CNBC,Others,0
2017-11-20,CNBC,Weinstein,2
2017-11-20,CNN,Others,35
2017-11-20,CNN,Weinstein,3
2017-11-20,Fox Business,Others,37
2017-11-20,Fox Business,Weinstein,1
2017-11-20,Fox News,Others,76
2017-11-20,Fox News,Weinstein,3
2017-11-20,MSNBC,Others,54
2017-11-20,MSNBC,Weinstein,3
2017-11-21,Bloomberg,Others,23
2017-11-21,Bloomberg,Weinstein,1
2017-11-21,CNBC,Others,11
2017-11-21,CNBC,Weinstein,0
2017-11-21,CNN,Others,144
2017-11-21,CNN,Weinstein,7
2017-11-21,Fox Business,Others,78
2017-11-21,Fox Business,Weinstein,6
2017-11-21,Fox News,Others,150
2017-11-21,Fox News,Weinstein,10
2017-11-21,MSNBC,Others,167
2017-11-21,MSNBC,Weinstein,14
2017-11-22,Bloomberg,Others,1
2017-11-22,Bloomberg,Weinstein,0
2017-11-22,CNBC,Others,0
2017-11-22,CNBC,Weinstein,0
2017-11-22,CNN,Others,119
2017-11-22,CNN,Weinstein,2
2017-11-22,Fox Business,Others,60
2017-11-22,Fox Business,Weinstein,9
2017-11-22,Fox News,Others,133
2017-11-22,Fox News,Weinstein,12
2017-11-22,MSNBC,Others,132
2017-11-22,MSNBC,Weinstein,3
2017-11-23,Bloomberg,Others,1
2017-11-23,Bloomberg,Weinstein,0
2017-11-23,CNBC,Others,0
2017-11-23,CNBC,Weinstein,0
2017-11-23,CNN,Others,37
2017-11-23,CNN,Weinstein,0
2017-11-23,Fox Business,Others,20
2017-11-23,Fox Business,Weinstein,0
2017-11-23,Fox News,Others,92
2017-11-23,Fox News,Weinstein,11
2017-11-23,MSNBC,Others,32
2017-11-23,MSNBC,Weinstein,1
2017-11-24,Bloomberg,Others,0
2017-11-24,Bloomberg,Weinstein,0
2017-11-24,CNBC,Others,0
2017-11-24,CNBC,Weinstein,1
2017-11-24,CNN,Others,47
2017-11-24,CNN,Weinstein,3
2017-11-24,Fox Business,Others,27
2017-11-24,Fox Business,Weinstein,3
2017-11-24,Fox News,Others,45
2017-11-24,Fox News,Weinstein,0
2017-11-24,MSNBC,Others,30
2017-11-24,MSNBC,Weinstein,10
2017-11-25,Bloomberg,Others,0
2017-11-25,Bloomberg,Weinstein,1
2017-11-25,CNBC,Others,0
2017-11-25,CNBC,Weinstein,0
2017-11-25,CNN,Others,11
2017-11-25,CNN,Weinstein,2
2017-11-25,Fox Business,Others,32
2017-11-25,Fox Business,Weinstein,0
2017-11-25,Fox News,Others,49
2017-11-25,Fox News,Weinstein,10
2017-11-25,MSNBC,Others,20
2017-11-25,MSNBC,Weinstein,0
2017-11-26,Bloomberg,Others,0
2017-11-26,Bloomberg,Weinstein,1
2017-11-26,CNBC,Others,0
2017-11-26,CNBC,Weinstein,0
2017-11-26,CNN,Others,23
2017-11-26,CNN,Weinstein,4
2017-11-26,Fox Business,Others,1
2017-11-26,Fox Business,Weinstein,0
2017-11-26,Fox News,Others,86
2017-11-26,Fox News,Weinstein,6
2017-11-26,MSNBC,Others,73
2017-11-26,MSNBC,Weinstein,3
2017-11-27,Bloomberg,Others,4
2017-11-27,Bloomberg,Weinstein,0
2017-11-27,CNBC,Others,1
2017-11-27,CNBC,Weinstein,2
2017-11-27,CNN,Others,106
2017-11-27,CNN,Weinstein,10
2017-11-27,Fox Business,Others,99
2017-11-27,Fox Business,Weinstein,2
2017-11-27,Fox News,Others,161
2017-11-27,Fox News,Weinstein,5
2017-11-27,MSNBC,Others,149
2017-11-27,MSNBC,Weinstein,9
2017-11-28,Bloomberg,Others,0
2017-11-28,Bloomberg,Weinstein,0
2017-11-28,CNBC,Others,0
2017-11-28,CNBC,Weinstein,0
2017-11-28,CNN,Others,17
2017-11-28,CNN,Weinstein,1
2017-11-28,Fox Business,Others,54
2017-11-28,Fox Business,Weinstein,1
2017-11-28,Fox News,Others,88
2017-11-28,Fox News,Weinstein,9
2017-11-28,MSNBC,Others,37
2017-11-28,MSNBC,Weinstein,0
2017-11-29,Bloomberg,Others,13
2017-11-29,Bloomberg,Weinstein,0
2017-11-29,CNBC,Others,28
2017-11-29,CNBC,Weinstein,4
2017-11-29,CNN,Others,99
2017-11-29,CNN,Weinstein,10
2017-11-29,Fox Business,Others,99
2017-11-29,Fox Business,Weinstein,8
2017-11-29,Fox News,Others,121
2017-11-29,Fox News,Weinstein,4
2017-11-29,MSNBC,Others,146
2017-11-29,MSNBC,Weinstein,9
2017-11-30,Bloomberg,Others,14
2017-11-30,Bloomberg,Weinstein,2
2017-11-30,CNBC,Others,11
2017-11-30,CNBC,Weinstein,0
2017-11-30,CNN,Others,170
2017-11-30,CNN,Weinstein,10
2017-11-30,Fox Business,Others,153
2017-11-30,Fox Business,Weinstein,5
2017-11-30,Fox News,Others,234
2017-11-30,Fox News,Weinstein,29
2017-11-30,MSNBC,Others,151
2017-11-30,MSNBC,Weinstein,6
2017-12-01,Bloomberg,Others,7
