date,name,count_show_mentions_person_date,max,max_name
2017-11-04T00:00:00Z,al franken,6,NA,
2017-11-04T00:00:00Z,dustin hoffman,0,NA,
2017-11-04T00:00:00Z,glenn thrush,0,NA,
2017-11-04T00:00:00Z,harvey weinstein,11,NA,
2017-11-04T00:00:00Z,james toback,0,NA,
2017-11-04T00:00:00Z,jeremy piven,0,NA,
2017-11-04T00:00:00Z,kevin spacey,10,NA,
2017-11-04T00:00:00Z,mark halperin,0,NA,
2017-11-04T00:00:00Z,michael fallon,0,NA,
2017-11-04T00:00:00Z,roy moore,0,NA,
2017-11-04T00:00:00Z,trent franks,0,NA,
2017-11-05T00:00:00Z,al franken,1,NA,
2017-11-05T00:00:00Z,brett ratner,1,NA,
2017-11-05T00:00:00Z,charlie rose,0,NA,
2017-11-05T00:00:00Z,dustin hoffman,1,NA,
2017-11-05T00:00:00Z,gary goddard,0,NA,
2017-11-05T00:00:00Z,glenn thrush,0,NA,
2017-11-05T00:00:00Z,harvey weinstein,6,NA,
2017-11-05T00:00:00Z,jeffrey tambor,0,NA,
2017-11-05T00:00:00Z,jeremy piven,0,NA,
2017-11-05T00:00:00Z,kevin spacey,5,NA,
2017-11-05T00:00:00Z,louis ck,0,NA,
2017-11-05T00:00:00Z,mark halperin,1,NA,
2017-11-05T00:00:00Z,richard dreyfuss,2,2,Richard Dreyfuss
2017-11-05T00:00:00Z,roy moore,0,NA,
2017-11-05T00:00:00Z,trent franks,0,NA,
2017-11-06T00:00:00Z,al franken,0,NA,
2017-11-06T00:00:00Z,brett ratner,0,NA,
2017-11-06T00:00:00Z,charlie rose,0,NA,
2017-11-06T00:00:00Z,dustin hoffman,0,NA,
2017-11-06T00:00:00Z,gary goddard,0,NA,
2017-11-06T00:00:00Z,glenn thrush,0,NA,
2017-11-06T00:00:00Z,harvey weinstein,0,NA,
2017-11-06T00:00:00Z,jeffrey tambor,0,NA,
2017-11-06T00:00:00Z,jeremy piven,0,NA,
2017-11-06T00:00:00Z,kevin spacey,0,NA,
2017-11-06T00:00:00Z,louis ck,0,NA,
2017-11-06T00:00:00Z,mark halperin,0,NA,
2017-11-06T00:00:00Z,richard dreyfuss,0,NA,
2017-11-06T00:00:00Z,roy moore,0,NA,
2017-11-06T00:00:00Z,trent franks,0,NA,
2017-11-07T00:00:00Z,al franken,1,NA,
2017-11-07T00:00:00Z,brett ratner,0,NA,
2017-11-07T00:00:00Z,charlie rose,0,NA,
2017-11-07T00:00:00Z,dustin hoffman,0,NA,
2017-11-07T00:00:00Z,gary goddard,0,NA,
2017-11-07T00:00:00Z,glenn thrush,0,NA,
2017-11-07T00:00:00Z,harvey weinstein,5,NA,
2017-11-07T00:00:00Z,jeffrey tambor,0,NA,
2017-11-07T00:00:00Z,jeremy piven,0,NA,
2017-11-07T00:00:00Z,kevin spacey,0,NA,
2017-11-07T00:00:00Z,louis ck,0,NA,
2017-11-07T00:00:00Z,mark halperin,0,NA,
2017-11-07T00:00:00Z,richard dreyfuss,0,NA,
2017-11-07T00:00:00Z,roy moore,1,NA,
2017-11-07T00:00:00Z,trent franks,0,NA,
2017-11-08T00:00:00Z,al franken,0,NA,
2017-11-08T00:00:00Z,brett ratner,0,NA,
