date,station,name,count_show_mentions_person_station_date
2017-11-03T00:00:00Z,MSNBC,harvey weinstein,4
2017-11-03T00:00:00Z,MSNBC,james toback,1
2017-11-03T00:00:00Z,MSNBC,jeremy piven,1
2017-11-03T00:00:00Z,MSNBC,kevin spacey,2
2017-11-03T00:00:00Z,MSNBC,mark halperin,0
2017-11-03T00:00:00Z,MSNBC,michael fallon,0
2017-11-03T00:00:00Z,MSNBC,roy moore,0
2017-11-04T00:00:00Z,CNN,al franken,1
2017-11-04T00:00:00Z,CNN,harvey weinstein,4
2017-11-04T00:00:00Z,CNN,kevin spacey,4
2017-11-04T00:00:00Z,CNN,mark halperin,0
2017-11-04T00:00:00Z,Fox News,al franken,0
2017-11-04T00:00:00Z,Fox News,harvey weinstein,4
2017-11-04T00:00:00Z,Fox News,kevin spacey,5
2017-11-04T00:00:00Z,Fox News,mark halperin,0
2017-11-04T00:00:00Z,Fox News,michael fallon,0
2017-11-04T00:00:00Z,Fox News,roy moore,0
2017-11-04T00:00:00Z,Fox News,trent franks,0
2017-11-04T00:00:00Z,MSNBC,al franken,5
2017-11-04T00:00:00Z,MSNBC,dustin hoffman,0
2017-11-04T00:00:00Z,MSNBC,glenn thrush,0
2017-11-04T00:00:00Z,MSNBC,harvey weinstein,3
2017-11-04T00:00:00Z,MSNBC,james toback,0
2017-11-04T00:00:00Z,MSNBC,jeremy piven,0
2017-11-04T00:00:00Z,MSNBC,kevin spacey,1
2017-11-04T00:00:00Z,MSNBC,mark halperin,0
2017-11-04T00:00:00Z,MSNBC,michael fallon,0
2017-11-04T00:00:00Z,MSNBC,roy moore,0
2017-11-05T00:00:00Z,CNN,al franken,0
2017-11-05T00:00:00Z,CNN,harvey weinstein,3
2017-11-05T00:00:00Z,CNN,kevin spacey,1
2017-11-05T00:00:00Z,CNN,louis ck,0
2017-11-05T00:00:00Z,CNN,mark halperin,0
2017-11-05T00:00:00Z,CNN,roy moore,0
2017-11-05T00:00:00Z,Fox News,brett ratner,1
2017-11-05T00:00:00Z,Fox News,dustin hoffman,1
2017-11-05T00:00:00Z,Fox News,harvey weinstein,3
2017-11-05T00:00:00Z,Fox News,jeffrey tambor,0
2017-11-05T00:00:00Z,Fox News,kevin spacey,4
2017-11-05T00:00:00Z,Fox News,louis ck,0
2017-11-05T00:00:00Z,Fox News,mark halperin,1
2017-11-05T00:00:00Z,Fox News,richard dreyfuss,2
2017-11-05T00:00:00Z,Fox News,roy moore,0
2017-11-05T00:00:00Z,Fox News,trent franks,0
2017-11-05T00:00:00Z,MSNBC,al franken,1
2017-11-05T00:00:00Z,MSNBC,brett ratner,0
2017-11-05T00:00:00Z,MSNBC,charlie rose,0
2017-11-05T00:00:00Z,MSNBC,dustin hoffman,0
2017-11-05T00:00:00Z,MSNBC,gary goddard,0
2017-11-05T00:00:00Z,MSNBC,glenn thrush,0
2017-11-05T00:00:00Z,MSNBC,harvey weinstein,0
2017-11-05T00:00:00Z,MSNBC,jeremy piven,0
2017-11-05T00:00:00Z,MSNBC,kevin spacey,0
2017-11-05T00:00:00Z,MSNBC,louis ck,0
2017-11-05T00:00:00Z,MSNBC,mark halperin,0
2017-11-05T00:00:00Z,MSNBC,roy moore,0
2017-11-06T00:00:00Z,CNN,al franken,0
2017-11-06T00:00:00Z,CNN,harvey weinstein,0
2017-11-06T00:00:00Z,CNN,kevin spacey,0
2017-11-06T00:00:00Z,CNN,louis ck,0
2017-11-06T00:00:00Z,CNN,mark halperin,0
2017-11-06T00:00:00Z,CNN,roy moore,0
2017-11-06T00:00:00Z,Fox News,brett ratner,0
2017-11-06T00:00:00Z,Fox News,dustin hoffman,0
2017-11-06T00:00:00Z,Fox News,harvey weinstein,0
2017-11-06T00:00:00Z,Fox News,jeffrey tambor,0
2017-11-06T00:00:00Z,Fox News,kevin spacey,0
2017-11-06T00:00:00Z,Fox News,louis ck,0
2017-11-06T00:00:00Z,Fox News,mark halperin,0
2017-11-06T00:00:00Z,Fox News,richard dreyfuss,0
2017-11-06T00:00:00Z,Fox News,roy moore,0
2017-11-06T00:00:00Z,Fox News,trent franks,0
2017-11-06T00:00:00Z,MSNBC,al franken,0
2017-11-06T00:00:00Z,MSNBC,brett ratner,0
2017-11-06T00:00:00Z,MSNBC,charlie rose,0
2017-11-06T00:00:00Z,MSNBC,dustin hoffman,0
2017-11-06T00:00:00Z,MSNBC,gary goddard,0
2017-11-06T00:00:00Z,MSNBC,glenn thrush,0
2017-11-06T00:00:00Z,MSNBC,harvey weinstein,0
2017-11-06T00:00:00Z,MSNBC,jeremy piven,0
2017-11-06T00:00:00Z,MSNBC,kevin spacey,0
2017-11-06T00:00:00Z,MSNBC,louis ck,0
2017-11-06T00:00:00Z,MSNBC,mark halperin,0
2017-11-06T00:00:00Z,MSNBC,roy moore,0
2017-11-07T00:00:00Z,CNN,al franken,1
2017-11-07T00:00:00Z,CNN,harvey weinstein,1
2017-11-07T00:00:00Z,CNN,kevin spacey,0
2017-11-07T00:00:00Z,CNN,louis ck,0
2017-11-07T00:00:00Z,CNN,mark halperin,0
2017-11-07T00:00:00Z,CNN,roy moore,1
2017-11-07T00:00:00Z,Fox News,brett ratner,0
2017-11-07T00:00:00Z,Fox News,dustin hoffman,0
2017-11-07T00:00:00Z,Fox News,harvey weinstein,1
2017-11-07T00:00:00Z,Fox News,jeffrey tambor,0
2017-11-07T00:00:00Z,Fox News,kevin spacey,0
2017-11-07T00:00:00Z,Fox News,louis ck,0
2017-11-07T00:00:00Z,Fox News,mark halperin,0
2017-11-07T00:00:00Z,Fox News,richard dreyfuss,0
2017-11-07T00:00:00Z,Fox News,roy moore,0
2017-11-07T00:00:00Z,Fox News,trent franks,0
2017-11-07T00:00:00Z,MSNBC,al franken,0
2017-11-07T00:00:00Z,MSNBC,brett ratner,0
2017-11-07T00:00:00Z,MSNBC,charlie rose,0
2017-11-07T00:00:00Z,MSNBC,dustin hoffman,0
2017-11-07T00:00:00Z,MSNBC,gary goddard,0
2017-11-07T00:00:00Z,MSNBC,glenn thrush,0
2017-11-07T00:00:00Z,MSNBC,harvey weinstein,3
2017-11-07T00:00:00Z,MSNBC,jeremy piven,0
2017-11-07T00:00:00Z,MSNBC,kevin spacey,0
2017-11-07T00:00:00Z,MSNBC,louis ck,0
2017-11-07T00:00:00Z,MSNBC,mark halperin,0
2017-11-07T00:00:00Z,MSNBC,roy moore,0
2017-11-08T00:00:00Z,CNN,al franken,0
2017-11-08T00:00:00Z,CNN,harvey weinstein,1
2017-11-08T00:00:00Z,CNN,kevin spacey,3
2017-11-08T00:00:00Z,CNN,louis ck,0
2017-11-08T00:00:00Z,CNN,mark halperin,0
2017-11-08T00:00:00Z,CNN,roy moore,3
2017-11-08T00:00:00Z,Fox News,brett ratner,0
2017-11-08T00:00:00Z,Fox News,dustin hoffman,0
2017-11-08T00:00:00Z,Fox News,harvey weinstein,1
2017-11-08T00:00:00Z,Fox News,jeffrey tambor,0
2017-11-08T00:00:00Z,Fox News,kevin spacey,0
2017-11-08T00:00:00Z,Fox News,louis ck,1
2017-11-08T00:00:00Z,Fox News,mark halperin,0
2017-11-08T00:00:00Z,Fox News,richard dreyfuss,0
2017-11-08T00:00:00Z,Fox News,roy moore,0
2017-11-08T00:00:00Z,Fox News,trent franks,1
2017-11-08T00:00:00Z,MSNBC,al franken,0
2017-11-08T00:00:00Z,MSNBC,brett ratner,0
2017-11-08T00:00:00Z,MSNBC,charlie rose,0
2017-11-08T00:00:00Z,MSNBC,dustin hoffman,0
2017-11-08T00:00:00Z,MSNBC,gary goddard,0
2017-11-08T00:00:00Z,MSNBC,glenn thrush,0
2017-11-08T00:00:00Z,MSNBC,harvey weinstein,2
2017-11-08T00:00:00Z,MSNBC,jeremy piven,0
2017-11-08T00:00:00Z,MSNBC,kevin spacey,4
2017-11-08T00:00:00Z,MSNBC,louis ck,0
2017-11-08T00:00:00Z,MSNBC,mark halperin,0
2017-11-08T00:00:00Z,MSNBC,roy moore,2
2017-11-09T00:00:00Z,CNN,al franken,0
2017-11-09T00:00:00Z,CNN,harvey weinstein,8
2017-11-09T00:00:00Z,CNN,kevin spacey,8
2017-11-09T00:00:00Z,CNN,louis ck,2
2017-11-09T00:00:00Z,CNN,mark halperin,0
2017-11-09T00:00:00Z,CNN,roy moore,5
2017-11-09T00:00:00Z,Fox News,brett ratner,0
2017-11-09T00:00:00Z,Fox News,dustin hoffman,0
2017-11-09T00:00:00Z,Fox News,harvey weinstein,0
2017-11-09T00:00:00Z,Fox News,jeffrey tambor,0
2017-11-09T00:00:00Z,Fox News,kevin spacey,1
2017-11-09T00:00:00Z,Fox News,louis ck,0
2017-11-09T00:00:00Z,Fox News,mark halperin,0
2017-11-09T00:00:00Z,Fox News,richard dreyfuss,0
2017-11-09T00:00:00Z,Fox News,roy moore,4
2017-11-09T00:00:00Z,Fox News,trent franks,0
2017-11-09T00:00:00Z,MSNBC,al franken,0
2017-11-09T00:00:00Z,MSNBC,brett ratner,0
2017-11-09T00:00:00Z,MSNBC,charlie rose,0
2017-11-09T00:00:00Z,MSNBC,dustin hoffman,0
2017-11-09T00:00:00Z,MSNBC,gary goddard,0
2017-11-09T00:00:00Z,MSNBC,glenn thrush,0
2017-11-09T00:00:00Z,MSNBC,harvey weinstein,3
2017-11-09T00:00:00Z,MSNBC,jeremy piven,0
2017-11-09T00:00:00Z,MSNBC,kevin spacey,5
2017-11-09T00:00:00Z,MSNBC,louis ck,0
2017-11-09T00:00:00Z,MSNBC,mark halperin,0
2017-11-09T00:00:00Z,MSNBC,roy moore,4
2017-11-10T00:00:00Z,CNN,al franken,0
2017-11-10T00:00:00Z,CNN,harvey weinstein,11
2017-11-10T00:00:00Z,CNN,kevin spacey,7
2017-11-10T00:00:00Z,CNN,louis ck,4
2017-11-10T00:00:00Z,CNN,mark halperin,3
2017-11-10T00:00:00Z,CNN,roy moore,21
2017-11-10T00:00:00Z,Fox News,brett ratner,0
2017-11-10T00:00:00Z,Fox News,dustin hoffman,2
2017-11-10T00:00:00Z,Fox News,harvey weinstein,6
2017-11-10T00:00:00Z,Fox News,jeffrey tambor,2
2017-11-10T00:00:00Z,Fox News,kevin spacey,4
2017-11-10T00:00:00Z,Fox News,louis ck,3
2017-11-10T00:00:00Z,Fox News,mark halperin,0
2017-11-10T00:00:00Z,Fox News,richard dreyfuss,0
2017-11-10T00:00:00Z,Fox News,roy moore,18
2017-11-10T00:00:00Z,Fox News,trent franks,0
2017-11-10T00:00:00Z,MSNBC,al franken,0
2017-11-10T00:00:00Z,MSNBC,brett ratner,0
2017-11-10T00:00:00Z,MSNBC,charlie rose,1
2017-11-10T00:00:00Z,MSNBC,dustin hoffman,0
2017-11-10T00:00:00Z,MSNBC,gary goddard,0
2017-11-10T00:00:00Z,MSNBC,glenn thrush,1
2017-11-10T00:00:00Z,MSNBC,harvey weinstein,5
2017-11-10T00:00:00Z,MSNBC,jeremy piven,0
2017-11-10T00:00:00Z,MSNBC,kevin spacey,2
2017-11-10T00:00:00Z,MSNBC,louis ck,2
2017-11-10T00:00:00Z,MSNBC,mark halperin,0
2017-11-10T00:00:00Z,MSNBC,roy moore,21
2017-11-11T00:00:00Z,CNN,al franken,0
2017-11-11T00:00:00Z,CNN,harvey weinstein,6
2017-11-11T00:00:00Z,CNN,kevin spacey,3
2017-11-11T00:00:00Z,CNN,louis ck,0
2017-11-11T00:00:00Z,CNN,mark halperin,0
2017-11-11T00:00:00Z,CNN,roy moore,19
2017-11-11T00:00:00Z,Fox News,brett ratner,0
2017-11-11T00:00:00Z,Fox News,dustin hoffman,0
2017-11-11T00:00:00Z,Fox News,harvey weinstein,6
2017-11-11T00:00:00Z,Fox News,jeffrey tambor,0
2017-11-11T00:00:00Z,Fox News,kevin spacey,2
2017-11-11T00:00:00Z,Fox News,louis ck,6
2017-11-11T00:00:00Z,Fox News,mark halperin,0
2017-11-11T00:00:00Z,Fox News,richard dreyfuss,0
2017-11-11T00:00:00Z,Fox News,roy moore,18
2017-11-11T00:00:00Z,Fox News,trent franks,0
2017-11-11T00:00:00Z,MSNBC,al franken,0
2017-11-11T00:00:00Z,MSNBC,brett ratner,1
2017-11-11T00:00:00Z,MSNBC,charlie rose,0
2017-11-11T00:00:00Z,MSNBC,dustin hoffman,3
2017-11-11T00:00:00Z,MSNBC,gary goddard,1
2017-11-11T00:00:00Z,MSNBC,glenn thrush,0
2017-11-11T00:00:00Z,MSNBC,harvey weinstein,12
2017-11-11T00:00:00Z,MSNBC,jeremy piven,3
2017-11-11T00:00:00Z,MSNBC,kevin spacey,5
2017-11-11T00:00:00Z,MSNBC,louis ck,2
2017-11-11T00:00:00Z,MSNBC,mark halperin,3
2017-11-11T00:00:00Z,MSNBC,roy moore,16
2017-11-12T00:00:00Z,CNN,al franken,0
2017-11-12T00:00:00Z,CNN,george takei,1
2017-11-12T00:00:00Z,CNN,harvey weinstein,2
2017-11-12T00:00:00Z,CNN,john conyers,0
2017-11-12T00:00:00Z,CNN,kevin spacey,2
2017-11-12T00:00:00Z,CNN,louis ck,1
2017-11-12T00:00:00Z,CNN,mark halperin,0
2017-11-12T00:00:00Z,CNN,roy moore,10
2017-11-12T00:00:00Z,Fox News,al franken,0
2017-11-12T00:00:00Z,Fox News,dustin hoffman,0
2017-11-12T00:00:00Z,Fox News,gary goddard,1
2017-11-12T00:00:00Z,Fox News,george takei,1
2017-11-12T00:00:00Z,Fox News,harvey weinstein,2
2017-11-12T00:00:00Z,Fox News,jeffrey tambor,0
2017-11-12T00:00:00Z,Fox News,kevin spacey,1
2017-11-12T00:00:00Z,Fox News,louis ck,0
2017-11-12T00:00:00Z,Fox News,matt lauer,0
2017-11-12T00:00:00Z,Fox News,matthew weiner,0
