date,name,count_show_mentions_person_date
2017-10-27T00:00:00Z,john conyers,3
2017-10-27T00:00:00Z,mark halperin,8
2017-10-27T00:00:00Z,matt lauer,0
2017-10-27T00:00:00Z,roy moore,8
2017-10-27T00:00:00Z,trent franks,0
2017-10-28T00:00:00Z,al franken,0
2017-10-28T00:00:00Z,glenn thrush,0
2017-10-28T00:00:00Z,harvey weinstein,6
2017-10-28T00:00:00Z,james toback,0
2017-10-28T00:00:00Z,john conyers,0
2017-10-28T00:00:00Z,mark halperin,1
2017-10-28T00:00:00Z,matt lauer,0
2017-10-28T00:00:00Z,roy moore,0
2017-10-28T00:00:00Z,trent franks,1
2017-10-29T00:00:00Z,al franken,0
2017-10-29T00:00:00Z,dustin hoffman,0
2017-10-29T00:00:00Z,glenn thrush,0
2017-10-29T00:00:00Z,harvey weinstein,6
2017-10-29T00:00:00Z,james toback,0
2017-10-29T00:00:00Z,jeremy piven,0
2017-10-29T00:00:00Z,kevin spacey,0
2017-10-29T00:00:00Z,mark halperin,4
2017-10-29T00:00:00Z,michael fallon,0
2017-10-29T00:00:00Z,roy moore,1
2017-10-29T00:00:00Z,trent franks,0
2017-10-30T00:00:00Z,al franken,0
2017-10-30T00:00:00Z,dustin hoffman,0
2017-10-30T00:00:00Z,glenn thrush,1
2017-10-30T00:00:00Z,harvey weinstein,3
2017-10-30T00:00:00Z,james toback,0
2017-10-30T00:00:00Z,jeremy piven,0
2017-10-30T00:00:00Z,kevin spacey,7
2017-10-30T00:00:00Z,mark halperin,0
2017-10-30T00:00:00Z,michael fallon,0
2017-10-30T00:00:00Z,roy moore,0
2017-10-30T00:00:00Z,trent franks,0
2017-10-31T00:00:00Z,al franken,0
2017-10-31T00:00:00Z,dustin hoffman,0
2017-10-31T00:00:00Z,glenn thrush,0
2017-10-31T00:00:00Z,harvey weinstein,1
2017-10-31T00:00:00Z,james toback,0
2017-10-31T00:00:00Z,jeremy piven,0
2017-10-31T00:00:00Z,kevin spacey,4
2017-10-31T00:00:00Z,mark halperin,0
2017-10-31T00:00:00Z,michael fallon,0
2017-10-31T00:00:00Z,roy moore,4
2017-10-31T00:00:00Z,trent franks,0
2017-11-01T00:00:00Z,al franken,1
2017-11-01T00:00:00Z,dustin hoffman,0
2017-11-01T00:00:00Z,glenn thrush,0
2017-11-01T00:00:00Z,harvey weinstein,0
2017-11-01T00:00:00Z,james toback,0
2017-11-01T00:00:00Z,jeremy piven,0
2017-11-01T00:00:00Z,kevin spacey,1
2017-11-01T00:00:00Z,mark halperin,0
2017-11-01T00:00:00Z,michael fallon,1
2017-11-01T00:00:00Z,roy moore,2
2017-11-01T00:00:00Z,trent franks,0
2017-11-02T00:00:00Z,al franken,4
2017-11-02T00:00:00Z,dustin hoffman,2
2017-11-02T00:00:00Z,glenn thrush,0
2017-11-02T00:00:00Z,harvey weinstein,2
2017-11-02T00:00:00Z,james toback,0
2017-11-02T00:00:00Z,jeremy piven,1
2017-11-02T00:00:00Z,kevin spacey,1
2017-11-02T00:00:00Z,mark halperin,1
2017-11-02T00:00:00Z,michael fallon,1
2017-11-02T00:00:00Z,roy moore,1
2017-11-02T00:00:00Z,trent franks,0
2017-11-03T00:00:00Z,al franken,15
2017-11-03T00:00:00Z,dustin hoffman,1
2017-11-03T00:00:00Z,glenn thrush,0
2017-11-03T00:00:00Z,harvey weinstein,8
2017-11-03T00:00:00Z,james toback,1
2017-11-03T00:00:00Z,jeremy piven,1
2017-11-03T00:00:00Z,kevin spacey,9
2017-11-03T00:00:00Z,mark halperin,1
2017-11-03T00:00:00Z,michael fallon,0
2017-11-03T00:00:00Z,roy moore,0
2017-11-03T00:00:00Z,trent franks,1
2017-11-04T00:00:00Z,al franken,6
2017-11-04T00:00:00Z,dustin hoffman,0
2017-11-04T00:00:00Z,glenn thrush,0
2017-11-04T00:00:00Z,harvey weinstein,11
2017-11-04T00:00:00Z,james toback,0
2017-11-04T00:00:00Z,jeremy piven,0
2017-11-04T00:00:00Z,kevin spacey,10
2017-11-04T00:00:00Z,mark halperin,0
2017-11-04T00:00:00Z,michael fallon,0
2017-11-04T00:00:00Z,roy moore,0
2017-11-04T00:00:00Z,trent franks,0
2017-11-05T00:00:00Z,al franken,1
2017-11-05T00:00:00Z,brett ratner,1
2017-11-05T00:00:00Z,charlie rose,0
2017-11-05T00:00:00Z,dustin hoffman,1
2017-11-05T00:00:00Z,gary goddard,0
2017-11-05T00:00:00Z,glenn thrush,0
2017-11-05T00:00:00Z,harvey weinstein,6
2017-11-05T00:00:00Z,jeffrey tambor,0
2017-11-05T00:00:00Z,jeremy piven,0
2017-11-05T00:00:00Z,kevin spacey,5
2017-11-05T00:00:00Z,louis ck,0
2017-11-05T00:00:00Z,mark halperin,1
2017-11-05T00:00:00Z,richard dreyfuss,2
2017-11-05T00:00:00Z,roy moore,0
2017-11-05T00:00:00Z,trent franks,0
2017-11-06T00:00:00Z,al franken,0
2017-11-06T00:00:00Z,brett ratner,0
2017-11-06T00:00:00Z,charlie rose,0
2017-11-06T00:00:00Z,dustin hoffman,0
2017-11-06T00:00:00Z,gary goddard,0
2017-11-06T00:00:00Z,glenn thrush,0
2017-11-06T00:00:00Z,harvey weinstein,0
2017-11-06T00:00:00Z,jeffrey tambor,0
2017-11-06T00:00:00Z,jeremy piven,0
2017-11-06T00:00:00Z,kevin spacey,0
2017-11-06T00:00:00Z,louis ck,0
2017-11-06T00:00:00Z,mark halperin,0
2017-11-06T00:00:00Z,richard dreyfuss,0
2017-11-06T00:00:00Z,roy moore,0
2017-11-06T00:00:00Z,trent franks,0
2017-11-07T00:00:00Z,al franken,1
2017-11-07T00:00:00Z,brett ratner,0
2017-11-07T00:00:00Z,charlie rose,0
2017-11-07T00:00:00Z,dustin hoffman,0
2017-11-07T00:00:00Z,gary goddard,0
2017-11-07T00:00:00Z,glenn thrush,0
2017-11-07T00:00:00Z,harvey weinstein,5
2017-11-07T00:00:00Z,jeffrey tambor,0
2017-11-07T00:00:00Z,jeremy piven,0
2017-11-07T00:00:00Z,kevin spacey,0
2017-11-07T00:00:00Z,louis ck,0
2017-11-07T00:00:00Z,mark halperin,0
2017-11-07T00:00:00Z,richard dreyfuss,0
2017-11-07T00:00:00Z,roy moore,1
2017-11-07T00:00:00Z,trent franks,0
2017-11-08T00:00:00Z,al franken,0
2017-11-08T00:00:00Z,brett ratner,0
2017-11-08T00:00:00Z,charlie rose,0
2017-11-08T00:00:00Z,dustin hoffman,0
2017-11-08T00:00:00Z,gary goddard,0
2017-11-08T00:00:00Z,glenn thrush,0
2017-11-08T00:00:00Z,harvey weinstein,4
2017-11-08T00:00:00Z,jeffrey tambor,0
2017-11-08T00:00:00Z,jeremy piven,0
2017-11-08T00:00:00Z,kevin spacey,7
2017-11-08T00:00:00Z,louis ck,1
2017-11-08T00:00:00Z,mark halperin,0
2017-11-08T00:00:00Z,richard dreyfuss,0
2017-11-08T00:00:00Z,roy moore,5
2017-11-08T00:00:00Z,trent franks,1
2017-11-09T00:00:00Z,al franken,0
2017-11-09T00:00:00Z,brett ratner,0
2017-11-09T00:00:00Z,charlie rose,0
2017-11-09T00:00:00Z,dustin hoffman,0
2017-11-09T00:00:00Z,gary goddard,0
2017-11-09T00:00:00Z,glenn thrush,0
2017-11-09T00:00:00Z,harvey weinstein,11
